year,school_name_x,school_name_y,ptr
2019,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,Performing Arts and Technology High School,14.1
2020,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,Performing Arts and Technology High School,12.5
2022,PERFORMING ARTS AND TECHNOLOGY HIGH SCHOOL,Performing Arts and Technology High School,12.9
2019,PORT RICHMOND HIGH SCHOOL,Port Richmond High School,15.9
2020,PORT RICHMOND HIGH SCHOOL,Port Richmond High School,15.1
2022,PORT RICHMOND HIGH SCHOOL,Port Richmond High School,14.7
2019,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,Preparatory Academy for Writers: A College Board School,18.6
2020,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,Preparatory Academy for Writers: A College Board School,18.0
2022,PREPARATORY ACADEMY FOR WRITERS: A COLLEGE BOARD SCHOOL,Preparatory Academy for Writers: A College Board School,17.3
2019,PROFESSIONAL PATHWAYS HIGH SCHOOL,Professional Pathways High School,10.9
2020,PROFESSIONAL PATHWAYS HIGH SCHOOL,Professional Pathways High School,12.2
2022,PROFESSIONAL PATHWAYS HIGH SCHOOL,Professional Pathways High School,11.4
2019,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Professional Performing Arts High School,19.3
2020,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Professional Performing Arts High School,19.1
2022,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,Professional Performing Arts High School,20.0
2019,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,PROGRESS High School for Professional Careers,14.4
2020,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,PROGRESS High School for Professional Careers,14.9
2022,PROGRESS HIGH SCHOOL FOR PROFESSIONAL CAREERS,PROGRESS High School for Professional Careers,14.8
2019,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,Queens Collegiate: A College Board School,14.6
2020,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,Queens Collegiate: A College Board School,14.6
2022,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,Queens Collegiate: A College Board School,15.3
2019,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY","Queens High School for Information, Research, and Technology",15.0
2020,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY","Queens High School for Information, Research, and Technology",14.8
2022,"QUEENS HIGH SCHOOL FOR INFORMATION, RESEARCH, AND TECHNOLOGY","Queens High School for Information, Research, and Technology",14.6
