School Name,DBN,latitude,longitude,formatted_address,Neighborhood,ZIP Code
Independence High School,71M544,40.767848,-73.98861,850 10TH AVENUE,Chelsea - Clinton,10019
Information Technology High School,77Q502,40.748502,-73.946488,21-16 44 ROAD,Long Island City - Astoria,11101
Innovation Diploma Plus,71M404,40.786134,-73.974483,145 WEST 84 STREET,Upper West Side,10024
Institute for Health Professions at Cambria Heights,77Q243,40.698786,-73.74633,207- 01 116 AVENUE,Southeast Queens,11411
International High School at Lafayette,73K337,40.593028,-73.986313,2630 BENSON AVENUE,Bensonhurst - Bay Ridge,11214
International High School at LaGuardia Community College,77Q530,40.743253,-73.933316,45-35 VAN DAM STREET,Long Island City - Astoria,11101
International School for Liberal Arts,72X342,40.869061,-73.897066,2780 RESERVOIR AVENUE,Fordham - Bronx Park,10468
Inwood Early College For Health And Information Technologies,71M211,40.865556,-73.925464,650 ACADEMY STREET,Washington Heights - Inwood,10034
It Takes a Village Academy,73K563,40.647728,-73.922212,5800 TILDEN AVENUE,East Flatbush - Flatbush,11203
Jacqueline Kennedy Onassis High School,71M529,40.757626,-73.98346,120 WEST 46 STREET,Chelsea - Clinton,10036
Jamaica Gateway to the Sciences,77Q350,40.714551,-73.798658,167-01 GOTHIC DRIVE,Jamaica,11432
James Madison High School,73K425,40.610499,-73.947661,3787 BEDFORD AVENUE,Coney Island - Sheepshead Bay ,11229
Jill Chaifetz Transfer High School,72X379,40.818703,-73.905389,778 FOREST AVENUE,High Bridge - Morrisania,10456
John Adams High School,77Q480,40.680065,-73.838616,101-01 ROCKAWAY BOULEVARD,Southwest Queens,11417
John Bowne High School,77Q425,40.737448,-73.823841,63-25 MAIN STREET,Fresh Meadows,11367
John Dewey High School,73K540,40.58807,-73.981925,50 AVENUE X,Coney Island - Sheepshead Bay ,11223
John Jay School for Law,76K462,40.669255,-73.97858,237 7 AVENUE,Downtown - Heights - Park Slope,11215
Khalil Gibran International Academy,73K592,40.686147,-73.979829,362 SCHERMERHORN STREET,Downtown - Heights - Park Slope,11217
Kingsborough Early College School,76K468,40.593028,-73.986313,2630 BENSON AVENUE,Bensonhurst - Bay Ridge,11214
Kingsbridge International High School,72X268,40.869061,-73.897066,2780 RESERVOIR AVENUE,Fordham - Bronx Park,10468
Kurt Hahn Expeditionary Learning School,73K569,40.647728,-73.922212,5800 TILDEN AVENUE,East Flatbush - Flatbush,11203
Landmark High School,71M419,40.743407,-74.00254,351 WEST 18 STREET,Chelsea - Clinton,10011
Leadership and Public Service High School,71M425,40.708971,-74.012465,90 TRINITY PLACE,Lower Manhattan,10006
Leon M. Goldstein High School for the Sciences,73K535,40.578356,-73.934449,1830 SHORE BOULEVARD,Coney Island - Sheepshead Bay ,11235
Liberation Diploma Plus,76K728,40.576976,-73.985413,2865 WEST 19 STREET,Coney Island - Sheepshead Bay ,11224
Liberty High School Academy for Newcomers,71M550,40.74182,-74.000238,250 WEST 18 STREET,Chelsea - Clinton,10011
Life Academy High School for Film and Music,76K559,40.593028,-73.986313,2630 BENSON AVENUE,Bensonhurst - Bay Ridge,11214
Long Island City High School,77Q450,40.765881,-73.933907,14-30 BROADWAY,Long Island City - Astoria,11106
Longwood Preparatory Academy,72X530,40.817741,-73.897876,965 LONGWOOD AVENUE,Hunts Point - Mott Haven,10459
Lower East Side Preparatory High School,71M515,40.72004,-73.986038,145 STANTON STREET,Union Square - Lower East Side,10002
Lower Manhattan Arts Academy,71M308,40.717329,-73.989329,350 GRAND STREET,Union Square - Lower East Side,10002
Lyons Community School,73K586,40.709765,-73.944463,223 GRAHAM AVENUE,Williamsburg - Bushwick,11206
Manhattan Academy For Arts & Language,71M427,40.74651,-73.98107,111 EAST 33 STREET,Gramercy Park - Murray Hill,10016
Manhattan Bridges High School,71M542,40.765474,-73.9927,525 WEST 50 STREET,Chelsea - Clinton,10019
Manhattan Business Academy,71M392,40.743407,-74.00254,351 WEST 18 STREET,Chelsea - Clinton,10011
Manhattan Center for Science and Mathematics,71M435,40.794184,-73.932868,260 PLEASANT AVENUE,East Harlem,10029
Manhattan Comprehensive Night and Day High School,71M575,40.732699,-73.984333,240 2 AVENUE,Union Square - Lower East Side,10003
Manhattan Early College School for Advertising,71M280,40.711441,-74.000851,411 PEARL STREET,Lower Manhattam,10038
Manhattan International High School,71M459,40.765638,-73.959777,327 EAST 67 STREET,Upper East Side,10065
Marble Hill High School for International Studies,72X477,40.877379,-73.912686,99 TERRACE VIEW AVENUE,Kingsbridge - Riverdale,10463
Martin Van Buren High School,77Q435,40.733888,-73.739726,230-17 HILLSIDE AVENUE,Southeast Queens,11427
Maspeth High School,77Q585,40.729104,-73.887909,54-40 74 STREET,West Queens,11378
Medgar Evers College Preparatory School,73K590,40.66679,-73.951823,1186 CARROLL STREET,East Flatbush - Flatbush,11225
Metropolitan Expeditionary Learning School,28Q167,40.708431,-73.855543,91-30 METROPOLITAN AVENUE,Jamaica,11375
Metropolitan High School,72X248,40.827539,-73.896925,1180 REV. J.A. POLITE AVE.,Hunts Point - Mott Haven,10459
Middle College High School at LaGuardia Community College,77Q520,40.743253,-73.933316,45-35 VAN DAM STREET,Long Island City - Astoria,11101
