Year,School Name,DBN,School Code,School Level,Leadership,Teachers,Other Staff,Male Count,Male Average Years in Title,Male Average Years at School,Female Count,Female Average Years in Title,Female Average Years at School,American Indian/Alaskan Native (AI/AN) Count,AI/AN Average Years in Title,AI/AN Average Years at School,Asian Count,Asian Average Years in Title,Asian Average Years at School,Black/African American (B/AA) Count,B/AA Average Years in Title,B/AA Average Years at School,Hawaiian/Pacific Islander (H/PI) Count,H/PI Average Years in Title,H/PI Average Years at School,Hispanic Count,Hispanic Average Years in Title,Hispanic Average Years at School,White Count,White Average Years in Title,White Average Years at School,Multiple Count,Multiple Average Years in Title,Multiple Average Years at School,Unknown/Other (U/O) Count,U/O Average Years in Title,U/O Average Years at School
2020,,04M206,,,3,94,10,16,5.0,4.9,78,5.8,4.8,*,*,*,5,6.1,6.1,14,7.1,5.7,*,*,*,28,6.4,5.6,43,5.0,4.1,*,*,*,*,,
2020,,04M224,,,2,16,4,10,12.8,5.9,6,9.4,4.8,*,*,*,*,,,*,,,*,*,*,*,,,10,10.7,5.4,*,*,*,*,,
2020,ESPERANZA PREPARATORY ACADEMY,04M372,,,2,54,22,18,6.5,3.2,36,8.2,2.6,*,*,*,*,,,*,,,*,*,*,37,7.6,2.7,13,7.5,2.9,*,*,*,*,,
2020,,04M375,,,3,29,15,*,,,*,,,*,*,*,*,,,*,,,*,*,*,7,11.4,5.8,13,9.0,1.6,*,*,*,*,,
2020,,04M377,,,1,18,4,5,11.2,3.7,13,6.2,3.3,*,*,*,*,,,6,13.2,4.5,*,*,*,5,3.9,2.4,5,6.0,4.2,*,*,*,*,,
2020,,04M497,,,1,16,11,*,,,*,,,*,*,*,*,,,7,5.8,4.4,*,*,*,*,,,*,,,*,*,*,*,,
2020,,04M825,,,2,22,6,6,9.1,5.5,16,12.4,6.3,*,*,*,*,,,*,,,*,*,*,*,,,15,10.8,5.5,*,*,*,*,,
2020,,04M964,,,2,43,26,5,7.5,3.5,38,9.3,4.3,*,*,*,5,10.6,3.8,8,11.5,4.9,*,*,*,12,11.7,4.3,16,5.9,4.2,*,*,*,*,,
2020,,05M030,,,2,34,18,*,,,*,,,*,*,*,*,,,13,14.8,9.3,*,*,*,9,6.9,6.0,5,15.8,13.1,*,*,*,*,,
2020,,05M036,,,2,37,20,*,,,*,,,*,*,*,*,,,21,15.8,12.5,*,*,*,8,21.8,17.7,5,11.7,8.7,*,*,*,*,,
