Year,School Name,School Type,Regents Exam,Total Tested,Mean Score,Percent Scoring Below 65,Percent Scoring 65 or Above,Percent Scoring 80 or Above,Asian%,Black%,Hispanic%,White%
2020,Astor Collegiate Academy,General Academic,Common Core English,60,62.18,46.64,53.36,14.97,0.0,30.0,58.33,11.67
2022,Astor Collegiate Academy,General Academic,Common Core English,85,65.77,41.14,58.86,30.59,0.0,40.0,43.53,16.47
2023,Astor Collegiate Academy,General Academic,Living Environment,90,59.14,61.11,38.89,7.79,10.0,38.89,51.11,0.0
2022,Astor Collegiate Academy,General Academic,Common Core Algebra,92,62.83,53.28,46.72,15.23,16.3,25.0,58.7,0.0
2023,Astor Collegiate Academy,General Academic,Common Core Algebra,127,60.89,50.41,49.59,10.24,11.81,33.86,47.24,7.09
2023,Astor Collegiate Academy,General Academic,Common Core English,181,67.72,34.27,65.73,32.0,0.0,33.15,49.72,17.13
2020,August Martin High School,General Academic,Living Environment,23,49.5,95.7,4.3,0.0,0.0,100.0,0.0,0.0
2020,August Martin High School,General Academic,Common Core English,51,63.99,45.06,54.94,23.49,11.76,88.24,0.0,0.0
2020,August Martin High School,General Academic,Common Core Algebra,59,52.8,81.34,18.66,0.0,0.0,88.14,11.86,0.0
2022,August Martin High School,General Academic,Common Core Algebra,93,62.08,51.61,48.39,5.37,13.98,53.76,32.26,0.0
2022,August Martin High School,General Academic,Common Core English,96,63.07,39.61,60.39,30.22,13.54,66.67,19.79,0.0
2022,August Martin High School,General Academic,Living Environment,114,60.55,57.92,42.08,9.61,15.79,54.39,29.82,0.0
2023,August Martin High School,General Academic,Common Core English,161,70.87,29.17,70.83,43.49,16.15,63.35,20.5,0.0
2023,August Martin High School,General Academic,Common Core Algebra,162,64.29,35.77,64.23,4.95,10.49,62.96,26.54,0.0
2023,August Martin High School,General Academic,Living Environment,175,58.16,63.43,36.57,8.02,12.57,62.86,24.57,0.0
2021,Aviation Career & Technical Education High School,Career Technical,Common Core English,13,87.9,7.7,92.3,92.3,0.0,0.0,100.0,0.0
